TABL. 1.;ZACHOROWANIA NA NIEKT”RE CHOROBY ZAKAèNE W 2020 R. WED£UG WOJEW”DZTW;;;;;;;;;;;;;;;;;;;;"powrÛt
back"
AIDS ;;0,1 ;0,0 ;0,1 ;0,1 ;0,1 ;- ;0,2 ;0,0 ;0,3 ;0,1 ;0,3 ;0,0 ;0,1 ;- ;0,1 ;0,0 ;0,1 ;AIDS;;
Salmonellozy ;;14,3 ;10,7 ;15,1 ;16,4 ;7,5 ;13,0 ;26,5 ;11,0 ;14,0 ;33,4 ;10,8 ;17,2 ;11,0 ;9,7 ;16,1 ;8,5 ;6,1 ;Other salmonella infections;;
Czerwonka bakteryjna ;;0,0 ;0,1 ;- ;- ;- ;0,0 ;0,1 ;0,1 ;- ;- ;- ;- ;- ;- ;- ;0,1 ;- ;Shigellosis;;
Inne bakteryjne zatrucia;;0,3 ;0,2 ;0,3 ;0,1 ;0,2 ;0,0 ;0,1 ;0,3 ;- ;0,0 ;0,3 ;0,8 ;0,5 ;0,2 ;0,4 ;0,1 ;0,1 ;Other bacterial ;;
 pokarmowe;;;;;;;;;;;;;;;;;;; foodborne intoxications;;
Biegunki u dzieci do lat 2 ;;1928,4 ;1409,9 ;1595,3 ;2534,7 ;1091,5 ;1380,9 ;2674,5 ;1845,6 ;2010,4 ;1617,2 ;1875,7 ;2829,4 ;2210,1 ;1775,5 ;1351,1 ;1769,3 ;1388,0 ;Acute diarrhoea in;;
;;;;;;;;;;;;;;;;;;; children under 2 years;;
Szkarlatyna ;;20,0 ;11,4 ;18,3 ;16,2 ;13,9 ;9,1 ;26,0 ;29,7 ;19,4 ;15,3 ;15,4 ;27,7 ;22,4 ;10,0 ;11,8 ;18,4 ;26,8 ;Scarlet fever;;
Bakteryjne zapalenie opon ;;0,6 ;0,5 ;1,1 ;0,7 ;0,6 ;0,5 ;0,6 ;0,3 ;0,8 ;0,8 ;0,4 ;0,6 ;0,6 ;0,7 ;0,8 ;0,9 ;1,1 ;Bacterial meningitis ;;
  mÛzgowych i/lub mÛzgu ;;;;;;;;;;;;;;;;;;; and/or encephalitis;;
Wirusowe zapalenie opon ;;0,7 ;0,4 ;0,6 ;0,6 ;0,7 ;0,2 ;0,8 ;0,5 ;0,9 ;0,6 ;1,8 ;0,9 ;0,4 ;0,6 ;2,4 ;0,7 ;0,6 ;Viral meningitis;;
  mÛzgowych ;;;;;;;;;;;;;;;;;;;;;
Wirusowe zapalenie mÛzgu ;;0,5 ;0,3 ;0,2 ;0,3 ;- ;0,1 ;0,4 ;0,4 ;0,2 ;0,0 ;7,1 ;0,1 ;0,1 ;0,3 ;2,3 ;0,1 ;0,2 ;Viral encephalitis;;
åwinka ;;1,5 ;0,7 ;2,0 ;0,9 ;1,9 ;1,0 ;1,9 ;1,9 ;1,5 ;1,2 ;1,5 ;1,4 ;1,6 ;2,0 ;1,2 ;1,4 ;1,9 ;Mumps ;;
W≥oúnica ;;0,1 ;- ;0,5 ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;0,3 ;- ;Trichinellosis;;
Grypa ;;8240,9 ;6297,4 ;8839,2 ;5901,8 ;3038,8 ;6753,1 ;7991,2 ;10359,7 ;3892,9 ;2927,8 ;5235,4 ;21888,2 ;6851,8 ;4450,5 ;5045,1 ;13598,5 ;3128,3 ;Influenza;;
Szczepieni przeciw wúciekliünie ;;11,5 ;4,5 ;15,8 ;11,2 ;8,7 ;12,0 ;16,4 ;9,4 ;5,2 ;19,4 ;16,6 ;10,7 ;7,6 ;12,0 ;24,9 ;8,3 ;12,8 ;Rabies vaccinations;;
;;;;;;;;;;;;;;;;;;;;;
è†r†Û†d†≥†o: dane Narodowego Instytutu Zdrowia Publicznego PZH ñ PaÒstwowego Instytutu Badawczego.;;;;;;;;;;;;;;;;;;;;;
S†o†u†r†c†e: data of the National Institute of Public Health NIH ñ National Research Institute.;;;;;;;;;;;;;;;;;;;;;
