TABL. 1.;ZACHOROWANIA NA NIEKT”RE CHOROBY ZAKAèNE WED£UG WOJEW”DZTW W 2022 R.;;;;;;;;;;;;;;;;;;;;"powrÛt
back";;
Odra ;;0,1 ;0,1 ;- ;- ;- ;0,0 ;0,1 ;0,2 ;- ;- ;- ;0,0 ;0,1 ;- ;- ;0,0 ;0,1 ;Measles;;;;
WZW typu B ;;6,6 ;3,6 ;9,1 ;2,4 ;4,4 ;11,8 ;4,7 ;3,6 ;3,3 ;2,4 ;9,0 ;16,5 ;9,4 ;0,8 ;3,9 ;9,2 ;6,9 ;Viral hepatitis type B;;;;
WZW typu C ;;6,7 ;6,6 ;8,9 ;6,6 ;9,7 ;6,5 ;4,9 ;3,5 ;5,9 ;2,9 ;6,7 ;7,4 ;7,2 ;2,5 ;5,5 ;10,3 ;15,9 ;Viral hepatitis type C;;;;
WZW typu A ;;0,6 ;0,5 ;0,3 ;0,5 ;0,1 ;0,4 ;0,7 ;0,8 ;1,3 ;1,1 ;- ;0,8 ;0,5 ;0,4 ;0,1 ;1,1 ;0,3 ;Viral hepatitis type A;;;;
RÛøyczka ;;0,4 ;0,2 ;0,2 ;0,1 ;0,4 ;0,6 ;0,4 ;0,4 ;0,1 ;0,4 ;0,3 ;0,5 ;0,5 ;- ;0,2 ;0,5 ;0,5 ;Rubella;;;;
AIDS ;;0,3 ;0,8 ;0,5 ;- ;0,3 ;0,3 ;0,3 ;0,1 ;0,3 ;0,1 ;0,6 ;0,5 ;0,0 ;0,1 ;0,4 ;0,5 ;0,4 ;AIDS;;;;
Salmonellozy ;;17,4 ;13,7 ;13,1 ;20,2 ;18,9 ;16,4 ;20,7 ;19,1 ;16,3 ;26,4 ;15,7 ;16,9 ;14,5 ;15,5 ;18,2 ;16,8 ;14,1 ;Other salmonella infections;;;;
Czerwonka bakteryjna ;;0,1 ;0,2 ;0,0 ;- ;- ;0,5 ;0,1 ;0,3 ;0,1 ;- ;0,2 ;0,1 ;- ;- ;- ;0,0 ;- ;Shigellosis;;;;
Inne bakteryjne zatrucia;;0,8 ;0,1 ;0,8 ;0,6 ;0,7 ;4,8 ;0,2 ;0,5 ;0,1 ;0,4 ;0,2 ;1,0 ;0,3 ;0,8 ;0,1 ;1,2 ;1,0 ;Other bacterial ;;;;
 pokarmowe;;;;;;;;;;;;;;;;;;; foodborne intoxications;;;;
Zapalenie jelit wywo≥ane ;;90,4 ;59,0 ;97,6 ;101,6 ;69,6 ;79,5 ;103,4 ;83,4 ;92,4 ;89,5 ;132,1 ;139,2 ;91,2 ;81,7 ;89,6 ;85,4 ;65,0 ;Enteritis caused by;;;;
 przez rotawirusy ;;;;;;;;;;;;;;;;;;; rotavirus;;;;
Zapalenie jelit wywo≥ane ;;57,0 ;29,8 ;69,3 ;80,4 ;27,0 ;79,7 ;42,6 ;78,8 ;61,4 ;33,3 ;40,8 ;45,9 ;70,0 ;58,4 ;52,3 ;49,4 ;42,6 ;Enteritis caused by;;;;
 przez clostridium difficile ;;;;;;;;;;;;;;;;;;; clostridium difficile;;;;
Biegunki u dzieci do lat 2 ;;4532,9 ;2842,4 ;4104,4 ;5321,0 ;4745,0 ;3128,6 ;5249,4 ;3877,4 ;4520,0 ;4034,5 ;4618,1 ;7202,6 ;5847,9 ;4319,1 ;3661,6 ;4299,7 ;3939,6 ;Acute diarrhoea in;;;;
;;;;;;;;;;;;;;;;;;; children under 2 years;;;;
Szkarlatyna ;;33,5 ;16,3 ;25,4 ;28,7 ;29,5 ;11,4 ;39,4 ;28,3 ;26,7 ;24,6 ;29,1 ;77,3 ;46,5 ;16,7 ;21,5 ;34,3 ;59,4 ;Scarlet fever;;;;
Bakteryjne zapalenie opon ;;1,2 ;0,9 ;1,9 ;0,9 ;1,3 ;1,2 ;1,6 ;1,1 ;1,8 ;1,3 ;0,9 ;1,3 ;1,3 ;0,8 ;1,8 ;1,0 ;1,3 ;Bacterial meningitis ;;;;
  mÛzgowych i/lub mÛzgu ;;;;;;;;;;;;;;;;;;; and/or encephalitis;;;;
Wirusowe zapalenie opon ;;1,0 ;0,8 ;0,9 ;0,8 ;0,4 ;0,7 ;1,3 ;0,8 ;1,6 ;1,2 ;1,8 ;1,2 ;0,6 ;1,0 ;2,0 ;0,8 ;0,9 ;Viral meningitis;;;;
  mÛzgowych ;;;;;;;;;;;;;;;;;;;;;;;
Wirusowe zapalenie mÛzgu ;;1,4 ;2,4 ;0,3 ;1,7 ;0,2 ;1,1 ;1,6 ;1,0 ;1,1 ;0,4 ;12,1 ;0,2 ;0,3 ;1,0 ;5,3 ;0,2 ;0,9 ;Viral encephalitis;;;;
åwinka ;;2,4 ;1,0 ;1,5 ;3,3 ;2,4 ;1,7 ;3,0 ;3,4 ;1,6 ;1,5 ;2,3 ;2,9 ;3,2 ;3,0 ;1,3 ;1,7 ;2,9 ;Mumps ;;;;
W≥oúnica ;;0,0 ;- ;- ;- ;- ;- ;- ;- ;- ;0,0 ;- ;- ;- ;- ;- ;- ;- ;Trichinellosis;;;;
Grypa ;;12433,1 ;8033,4 ;14815,0 ;7967,1 ;6300,6 ;7362,5 ;11191,7 ;14960,3 ;6334,2 ;3289,2 ;7228,1 ;36171,5 ;12024,8 ;8184,3 ;7835,0 ;20186,8 ;4058,0 ;Influenza;;;;
Borelioza z Lyme ;;45,9 ;29,0 ;26,2 ;76,8 ;50,6 ;22,6 ;79,8 ;29,0 ;63,1 ;58,9 ;81,2 ;62,8 ;48,9 ;26,7 ;61,3 ;25,1 ;40,8 ;Lyme borreliosis;;;;
;;;;;;;;;;;;;;;;;;;;;;;
è†r†Û†d†≥†o: dane Narodowego Instytutu Zdrowia Publicznego PZH ñ PaÒstwowego Instytutu Badawczego.;;;;;;;;;;;;;;;;;;;;;;;
S†o†u†r†c†e: data of the National Institute of Public Health NIH ñ National Research Institute.;;;;;;;;;;;;;;;;;;;;;;;
